epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,7703.67,1.38445,0.95258,1.42582,0.80715,0.98538,0.995,0.44314,1.52939,1.09496,1.71214,0.000105312,0.000105312,0.000105312
187,7745.03,1.40818,1.00298,1.52122,0.80082,0.99895,0.995,0.47602,1.52085,1.08502,1.73508,9.9125e-05,9.9125e-05,9.9125e-05
188,7786.05,1.36611,0.95311,1.41953,0.79212,1,0.995,0.47671,1.52451,1.06307,1.73281,9.29375e-05,9.29375e-05,9.29375e-05
189,7826.77,1.36969,1.0009,1.49733,0.88376,0.93493,0.995,0.4933,1.52648,1.04692,1.73091,8.675e-05,8.675e-05,8.675e-05
190,7867.94,1.37854,0.99196,1.44617,0.93066,0.90496,0.995,0.49417,1.5167,1.01512,1.69772,8.05625e-05,8.05625e-05,8.05625e-05
191,7908.71,1.3189,0.98224,1.39423,0.87305,1,0.995,0.4941,1.51713,1.01546,1.68778,7.4375e-05,7.4375e-05,7.4375e-05
192,7949.15,1.24783,1.0319,1.36321,0.87465,1,0.995,0.4672,1.52555,1.02856,1.67571,6.81875e-05,6.81875e-05,6.81875e-05
193,7990.03,1.28487,0.99834,1.46135,0.88292,1,0.995,0.47202,1.512,1.02746,1.67279,6.2e-05,6.2e-05,6.2e-05
194,8030.68,1.33568,1.00088,1.49913,0.88984,1,0.995,0.47369,1.50469,1.02312,1.65572,5.58125e-05,5.58125e-05,5.58125e-05
195,8071.39,1.28732,1.01732,1.44377,0.90328,1,0.995,0.47926,1.48904,1.01915,1.64691,4.9625e-05,4.9625e-05,4.9625e-05
196,8112.59,1.34453,1.04949,1.45904,0.90365,1,0.995,0.47569,1.47999,1.00759,1.6346,4.34375e-05,4.34375e-05,4.34375e-05
197,8158.05,1.20634,0.97037,1.35375,0.90368,1,0.995,0.47829,1.48119,0.99345,1.63274,3.725e-05,3.725e-05,3.725e-05
198,8202.47,1.22855,0.91485,1.41571,0.89864,0.98831,0.995,0.47816,1.47962,0.98179,1.62903,3.10625e-05,3.10625e-05,3.10625e-05
199,8244.55,1.32222,0.99526,1.48639,0.89948,1,0.995,0.48367,1.4842,0.97547,1.63951,2.4875e-05,2.4875e-05,2.4875e-05
200,8285.91,1.13982,0.95804,1.30369,0.89912,0.99526,0.995,0.48261,1.49021,0.97819,1.64696,1.86875e-05,1.86875e-05,1.86875e-05
