epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1772.21,1.71941,1.63369,1.6792,0.93382,0.65618,0.9825,0.4609,1.29275,2.70032,1.35946,0.000996313,0.000996313,0.000996313
43,1813.28,1.79199,1.62663,1.69666,0.83317,0.92118,0.9825,0.49516,1.35274,2.70976,1.37975,0.000990125,0.000990125,0.000990125
44,1854.28,1.88752,1.63794,1.84909,0.67364,1,0.995,0.47677,1.3603,2.75728,1.32263,0.000983938,0.000983938,0.000983938
45,1895.93,1.79839,1.5454,1.68731,0.77841,1,0.995,0.47538,1.28732,2.55532,1.2782,0.00097775,0.00097775,0.00097775
46,1937.03,1.82506,1.65311,1.80463,0.91183,0.96259,0.995,0.48809,1.31663,2.43905,1.32329,0.000971562,0.000971562,0.000971562
47,1978.2,1.79744,1.49858,1.7275,0.93616,0.91694,0.995,0.52049,1.36359,2.49,1.36579,0.000965375,0.000965375,0.000965375
48,2019.04,1.77273,1.53327,1.7575,0.85779,1,0.995,0.52068,1.33563,2.53868,1.36615,0.000959187,0.000959187,0.000959187
49,2060.05,1.80179,1.40701,1.71253,0.81031,1,0.995,0.50518,1.42299,2.45819,1.47362,0.000953,0.000953,0.000953
50,2101.12,1.8393,1.66633,1.86983,0.7716,1,0.995,0.52804,1.36938,2.41217,1.44247,0.000946812,0.000946812,0.000946812
51,2142.04,1.7599,1.5676,1.72921,0.89361,0.93253,0.995,0.57669,1.32984,2.19252,1.32586,0.000940625,0.000940625,0.000940625
52,2182.76,1.73142,1.60321,1.68168,0.90639,0.92051,0.995,0.51436,1.35051,2.16612,1.30941,0.000934438,0.000934438,0.000934438
53,2223.75,1.81641,1.46611,1.77123,0.87489,1,0.995,0.53739,1.20934,2.18059,1.20575,0.00092825,0.00092825,0.00092825
54,2264.8,1.66385,1.47426,1.6431,0.75727,1,0.87062,0.48056,1.17286,2.22534,1.2337,0.000922063,0.000922063,0.000922063
55,2305.78,1.75056,1.60805,1.68819,0.78606,0.98368,0.995,0.49288,1.24082,2.2626,1.24265,0.000915875,0.000915875,0.000915875
56,2346.96,1.71821,1.54074,1.63943,0.62359,1,0.995,0.44706,1.33103,2.21314,1.30304,0.000909688,0.000909688,0.000909688
57,2387.94,1.73745,1.58074,1.66908,0.63537,1,0.995,0.49031,1.35737,2.23355,1.35862,0.0009035,0.0009035,0.0009035
58,2428.79,1.755,1.51292,1.76693,0.582,1,0.97,0.48574,1.28229,2.383,1.32165,0.000897313,0.000897313,0.000897313
59,2470.02,1.84251,1.50246,1.75992,0.5152,1,0.9575,0.50847,1.25811,2.04584,1.27833,0.000891125,0.000891125,0.000891125
60,2510.74,1.86136,1.42035,1.76437,0.68711,1,0.9575,0.55374,1.27313,1.91429,1.27678,0.000884938,0.000884938,0.000884938
61,2551.71,1.76777,1.67413,1.70855,0.83543,0.86871,0.9575,0.41145,1.24443,1.89717,1.25882,0.00087875,0.00087875,0.00087875
62,2592.9,1.78197,1.31346,1.67607,0.85402,0.83343,0.9825,0.50582,1.24471,1.83922,1.27904,0.000872563,0.000872563,0.000872563
63,2633.76,1.77238,1.45549,1.72088,0.81179,0.93653,0.995,0.50711,1.26024,1.77203,1.3161,0.000866375,0.000866375,0.000866375
64,2675.14,1.73332,1.30128,1.74083,0.80721,1,0.9825,0.47218,1.27719,1.78447,1.33109,0.000860188,0.000860188,0.000860188
65,2716.39,1.71632,1.34752,1.74268,0.51787,1,0.9825,0.49099,1.36076,1.67488,1.36001,0.000854,0.000854,0.000854
66,2757.71,1.66126,1.42284,1.67288,0.90323,0.73861,0.995,0.48443,1.3566,1.63073,1.33112,0.000847813,0.000847813,0.000847813
67,2798.73,1.76358,1.36913,1.66956,0.57887,1,0.995,0.52546,1.34483,1.63915,1.33131,0.000841625,0.000841625,0.000841625
68,2839.87,1.74414,1.41076,1.75898,0.78793,1,0.995,0.51335,1.34371,1.60522,1.40834,0.000835438,0.000835438,0.000835438
69,2880.93,1.76667,1.31028,1.73556,0.83791,0.99608,0.995,0.51938,1.22782,1.60806,1.35768,0.00082925,0.00082925,0.00082925
70,2922.11,1.7352,1.28103,1.72585,0.76945,1,0.995,0.56535,1.18874,1.58435,1.25186,0.000823063,0.000823063,0.000823063
71,2962.93,1.68461,1.30601,1.72112,0.73153,1,0.995,0.54234,1.17257,1.66116,1.18997,0.000816875,0.000816875,0.000816875
72,3004.12,1.77453,1.28063,1.69334,0.75716,0.95778,0.995,0.50624,1.29111,1.68737,1.27505,0.000810688,0.000810688,0.000810688
73,3045.38,1.69409,1.30909,1.70633,0.66162,0.99045,0.995,0.49553,1.39442,1.69703,1.45716,0.0008045,0.0008045,0.0008045
74,3086.39,1.77534,1.32082,1.74532,0.83545,0.86971,0.995,0.51064,1.33811,1.65251,1.39965,0.000798313,0.000798313,0.000798313
75,3127.66,1.65749,1.27786,1.63072,0.73907,0.98305,0.995,0.53457,1.29345,1.56945,1.34873,0.000792125,0.000792125,0.000792125
76,3168.57,1.65655,1.34381,1.62228,0.80611,0.98884,0.995,0.4888,1.23376,1.60601,1.29269,0.000785938,0.000785938,0.000785938
77,3209.79,1.68755,1.24448,1.67853,0.81859,0.98794,0.995,0.51322,1.22321,1.6376,1.28887,0.00077975,0.00077975,0.00077975
78,3250.74,1.77602,1.40205,1.73195,0.63835,1,0.995,0.47724,1.26638,1.5685,1.32992,0.000773563,0.000773563,0.000773563
79,3291.55,1.58088,1.43945,1.58447,0.55744,1,0.95854,0.42177,1.31485,1.54133,1.36847,0.000767375,0.000767375,0.000767375
80,3332.37,1.70982,1.34637,1.65733,0.58734,1,0.995,0.47554,1.2878,1.54498,1.31952,0.000761188,0.000761188,0.000761188
81,3373.87,1.7328,1.22301,1.66353,0.61951,1,0.995,0.46007,1.3108,1.52321,1.32167,0.000755,0.000755,0.000755
82,3414.94,1.72435,1.23759,1.64343,0.71419,0.96957,0.9825,0.47241,1.33072,1.43094,1.34363,0.000748813,0.000748813,0.000748813
83,3456.34,1.65038,1.23073,1.6468,0.91389,0.93442,0.995,0.5033,1.29996,1.37123,1.31872,0.000742625,0.000742625,0.000742625
84,3497.25,1.66366,1.28263,1.61871,0.863,1,0.995,0.48707,1.29488,1.43212,1.29095,0.000736438,0.000736438,0.000736438
85,3538.09,1.67074,1.2875,1.66125,0.84149,1,0.995,0.47779,1.34211,1.4628,1.32792,0.00073025,0.00073025,0.00073025
86,3579.07,1.73423,1.40776,1.65628,0.54289,1,0.995,0.52086,1.27801,1.47842,1.31033,0.000724062,0.000724062,0.000724062
87,3620.02,1.67545,1.32748,1.68331,0.54311,1,0.995,0.53997,1.27524,1.49513,1.30582,0.000717875,0.000717875,0.000717875
88,3661.07,1.80742,1.25208,1.69917,0.83376,0.95912,0.995,0.5903,1.24889,1.46628,1.2856,0.000711687,0.000711687,0.000711687
89,3703.5,1.65554,1.15024,1.61582,0.90492,0.88428,0.995,0.58762,1.23461,1.45239,1.24909,0.0007055,0.0007055,0.0007055
90,3744.86,1.59223,1.14565,1.53821,0.91403,0.87981,0.995,0.59604,1.27918,1.39175,1.2686,0.000699312,0.000699312,0.000699312
91,3786.04,1.60746,1.22454,1.56675,0.84456,0.9955,0.995,0.5887,1.31679,1.31156,1.30017,0.000693125,0.000693125,0.000693125
92,3827.44,1.7623,1.2843,1.71905,0.78955,1,0.995,0.53996,1.34969,1.30945,1.35845,0.000686937,0.000686937,0.000686937
93,3868.61,1.61402,1.19327,1.65459,0.89661,0.96874,0.995,0.55407,1.29384,1.32503,1.25448,0.00068075,0.00068075,0.00068075
94,3910.18,1.64375,1.26303,1.59239,0.90525,0.93281,0.9825,0.52764,1.21335,1.25045,1.21329,0.000674562,0.000674562,0.000674562
95,3951.81,1.71867,1.2291,1.67986,0.9103,0.91823,0.9825,0.51547,1.2366,1.21434,1.26701,0.000668375,0.000668375,0.000668375
96,3992.96,1.64993,1.23263,1.61235,0.84553,0.9593,0.995,0.5206,1.21615,1.24574,1.29946,0.000662188,0.000662188,0.000662188
